Player,Team,GP,TOI,G,A1,A2,Points,ixG,GIVE,TAKE,WAR,p/60
Vladimir Tarasenko,STL,77,1356.42,37,17,19,73,28.21,19,35,4.3,3.22908831
Vladislav Namestnikov,T.B,43,515.8,9,4,3,16,5.23,9,16,0,1.8611865
Wayne Simmonds,PHI,75,1260.58,28,11,11,50,24.74,29,33,1.9,2.379857
Will Acton,EDM,3,32.13,0,0,0,0,0.02,0,2,0.1,0
William Karlsson,ANA,18,218.55,2,1,0,3,2.3,9,7,0.2,0.8236101
William Karlsson,CBJ,3,38.32,1,1,0,2,0.43,0,1,0.2,3.131524
Willie Mitchell,FLA,66,1430.8,3,2,3,8,3.52,34,17,1.6,0.335476637
Xavier Ouellet,DET,21,344.2,2,1,0,3,1.46,8,2,1,0.5229518
Yannick Weber,VAN,65,1117.2,11,5,5,21,7.48,35,14,1.1,1.12781966
Zac Dalpe,BUF,21,194.82,1,0,2,3,1.87,3,5,0.1,0.923929751
Zac Rinaldo,PHI,58,517.25,1,4,1,6,3.08,9,9,-0.8,0.6959884
Zach Bogosian,BUF,21,559.7,0,1,6,7,1.99,4,5,0.4,0.750402
Zach Bogosian,WPG,41,908.87,3,5,5,13,3.57,34,9,0.4,0.858208537
Zach Boychuk,CAR,31,329.3,3,2,1,6,2.86,3,9,-0.2,1.0932281
Zach Parise,MIN,74,1418.42,33,15,14,62,34.9,24,47,2.3,2.62263632
Zach Redmond,COL,59,1011.6,5,9,6,20,4.87,17,20,0.9,1.1862396
Zach Sill,PIT,42,348.37,1,2,0,3,1.93,4,10,-0.3,0.516692042
Zach Sill,TOR,21,179.75,0,1,0,1,1.55,2,5,-0.3,0.333796948
Zach Trotman,BOS,27,443.02,1,0,4,5,1.45,6,2,0.8,0.677170336
Zack Kassian,VAN,42,529.97,10,4,2,16,5.83,14,10,0.3,1.81142342
Zack Smith,OTT,37,445.23,2,0,1,3,3.72,7,15,-0.5,0.4042854
Zbynek Michalek,ARI,53,1117.6,2,2,4,8,1.72,23,12,1.3,0.4294918
Zbynek Michalek,STL,15,294.13,2,2,0,4,0.77,3,4,1.3,0.8159657
Zdeno Chara,BOS,63,1470.92,8,5,7,20,7.23,55,14,-0.1,0.8158159
Zemgus Girgensons,BUF,61,1163.85,15,5,10,30,12.16,12,19,-0.2,1.546591
