Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways
Nick Suzuki,MTL,71,7,15,22,75.86,9.1,2,29,27
Shea Weber,MTL,65,8,13,21,36.84,4.48,23,60,10
Alexander Edler,VAN,59,3,18,21,42,2.01,38,35,7
Keith Yandle,FLA,69,2,19,21,43.75,2.27,12,55,19
Jeff Petry,MTL,71,4,17,21,41.18,4.65,16,69,23
Jordan Staal,CAR,68,6,15,21,60,11.71,18,31,25
Marcus Johansson,BUF,60,6,15,21,70,5.26,14,17,15
Evander Kane,S.J,64,9,12,21,58.33,12.91,49,36,41
Oliver Ekman-Larsson,ARI,66,5,16,21,50,4.03,20,37,13
Calle Jarnkrok,NSH,64,9,12,21,67.74,8.78,8,7,17
Brady Skjei,"CAR, NYR",67,7,14,21,41.18,4.65,35,44,30
Tomas Hertl,S.J,48,10,11,21,70,10.13,12,16,16
Miles Wood,N.J,68,9,12,21,75,10.06,40,21,15
Ryan Graves,COL,69,8,13,21,33.33,4.92,27,32,16
Shea Theodore,VGK,71,9,12,21,39.62,7.3,10,45,49
J.T. Compher,COL,67,9,12,21,60,6.64,14,13,15
Ryan Pulock,NYI,68,5,16,21,34.43,3.97,14,51,13
Robby Fabbri,"DET, STL",61,9,12,21,77.78,6.75,10,26,11
Ivan Barbashev,STL,69,7,14,21,77.78,7.98,17,29,25
Ryan Donato,MIN,62,14,7,21,70,8.34,8,12,20
Mikko Rantanen,COL,42,9,12,21,67.74,5.75,14,11,31
Dominik Simon,PIT,64,7,14,21,63.64,7.74,12,28,40
Miro Heiskanen,DAL,68,3,18,21,47.73,5.87,6,62,31
Ilya Mikheyev,TOR,39,6,15,21,77.78,6.84,2,12,19
Patrick Marleau,"PIT, S.J",66,9,11,20,51.28,9.81,10,11,26
Alex Goligoski,ARI,70,2,18,20,37.04,2.61,22,42,4
Jamie Benn,DAL,69,8,12,20,64.52,11.19,20,46,48
Pat Maroon,T.B,64,8,12,20,68.97,7.22,31,11,14
Logan Couture,S.J,52,10,10,20,76.92,5.32,4,13,19
Kyle Turris,NSH,62,7,13,20,64.52,5.43,12,25,17
Jake Muzzin,TOR,53,6,14,20,37.74,3.34,24,53,17
Mikael Granlund,NSH,63,9,11,20,57.14,8.89,8,23,19
Nick Cousins,"MTL, VGK",65,7,13,20,64.52,8.76,23,19,29
Dougie Hamilton,CAR,47,9,11,20,51.28,5.47,24,28,15
Yanni Gourde,T.B,70,6,14,20,66.67,8.19,27,12,35
Oskar Sundqvist,STL,57,11,9,20,74.07,8.09,18,10,29
Chandler Stephenson,"VGK, WSH",65,7,13,20,47.62,6.33,10,18,30
Damon Severson,N.J,69,4,16,20,46.51,3.87,18,67,23
Vinnie Hinostroza,ARI,68,5,15,20,66.67,7.98,12,19,28
Conor Sheary,"BUF, PIT",63,9,11,20,64.52,8.01,2,16,19
Travis Sanheim,PHI,69,7,13,20,35.09,4.9,26,39,15
Viktor Arvidsson,NSH,57,11,9,20,68.97,8.76,20,17,13
Danton Heinen,"ANA, BOS",67,7,13,20,66.67,7.02,8,24,18
Ondrej Kase,"ANA, BOS",55,5,15,20,64.52,8.3,10,28,33
Zach Werenski,CBJ,63,10,10,20,40.82,6.77,8,39,22
Jeff Carter,L.A,60,13,6,19,82.61,11.81,24,16,11
Travis Zajac,N.J,69,6,13,19,55.88,6.06,18,16,24
David Krejci,BOS,61,5,14,19,54.29,5.43,14,27,25
Derick Brassard,NYI,66,6,13,19,61.29,6.52,14,35,26
Carl Hagelin,WSH,58,6,13,19,63.33,7.79,14,21,15
Matt Calvert,COL,50,8,11,19,73.08,7.04,20,12,16
Tyler Pitlick,PHI,63,8,11,19,61.29,6.19,10,13,25
Cam Fowler,ANA,59,7,12,19,42.22,2.76,14,27,20
Jeff Skinner,BUF,59,14,5,19,67.86,12.56,12,21,27
Ryan Dzingel,CAR,64,3,16,19,70.37,7.22,17,16,12
Sean Kuraly,BOS,69,6,13,19,70.37,5.87,32,23,21
Barclay Goodrow,"S.J, T.B",70,8,11,19,63.33,9.62,46,19,33
Colton Parayko,STL,64,6,13,19,39.58,4.91,14,30,25
Nate Schmidt,VGK,59,4,15,19,41.3,3.95,10,35,27
Ryan Hartman,MIN,69,8,11,19,52.78,8.32,35,14,29
William Carrier,VGK,71,7,12,19,63.33,8.89,29,8,21
Victor Olofsson,BUF,54,6,13,19,54.29,6.46,4,19,11
Ethan Bear,EDM,71,4,15,19,29.69,3.08,16,74,36
Adam Gaudette,VAN,59,7,12,19,70.37,5.98,33,13,21
Filip Chytil,NYR,60,13,6,19,61.29,9.12,6,25,32
Rasmus Dahlin,BUF,59,2,17,19,52.78,2.2,16,33,14
Kirby Dach,CHI,64,8,11,19,57.58,9.12,16,15,34
Jason Spezza,TOR,58,7,11,18,69.23,5.9,14,25,19
Alexander Radulov,DAL,60,7,11,18,64.29,9.53,34,34,24
Dmitry Orlov,WSH,69,2,16,18,31.03,4.05,28,57,38
Ben Chiarot,MTL,69,7,11,18,33.33,4.65,43,72,17
Joel Edmundson,CAR,68,6,12,18,40.91,4.32,40,40,20
Joel Armia,MTL,58,10,8,18,56.25,10.62,12,22,29
Mike Matheson,FLA,59,7,11,18,39.13,3.62,12,51,38
Jimmy Vesey,BUF,64,8,10,18,54.55,8.7,8,16,22
Nick Paul,OTT,56,9,9,18,72,7.47,13,19,24
Andrew Copp,WPG,63,9,9,18,66.67,8.01,8,23,29
Jason Dickinson,DAL,65,9,9,18,58.06,6.65,2,25,31
Sonny Milano,"ANA, CBJ",55,6,12,18,81.82,4.56,16,23,22
Anders Bjork,BOS,58,8,10,18,66.67,5.48,8,14,21
Colin White,OTT,61,5,13,18,62.07,6.58,31,26,23
John Marino,PIT,56,4,14,18,40.91,2.61,18,36,30
Tyson Jost,COL,67,7,11,18,56.25,8.18,16,11,15
Samuel Girard,COL,70,3,15,18,33.33,3.03,15,32,29
Joel Farabee,PHI,52,6,12,18,62.07,6.93,20,22,18
Matt Niskanen,PHI,68,2,15,17,31.48,2.9,20,41,13
Kyle Okposo,BUF,52,8,9,17,85,6.37,10,11,13
Phil Kessel,ARI,70,5,12,17,65.38,8.44,14,32,17
Justin Braun,PHI,62,2,15,17,44.74,1.67,16,26,9
Jared Spurgeon,MIN,62,8,9,17,32.08,3.93,12,15,6
Kyle Clifford,"L.A, TOR",69,7,10,17,65.38,9.14,49,16,11
Justin Holl,TOR,68,1,16,17,36.17,3.84,39,56,16
Marcus Sorensen,S.J,66,6,11,17,65.38,8.6,12,17,24
Matt Nieto,COL,70,6,11,17,54.84,7.45,6,11,12
Alex Galchenyuk,"MIN, PIT",59,6,11,17,68,6.03,14,16,5
Morgan Rielly,TOR,47,2,15,17,38.64,3.55,24,32,12
Erik Gustafsson,"CGY, CHI",66,4,13,17,31.48,3.69,19,54,21
Will Butcher,N.J,56,3,14,17,42.5,2.38,6,23,9
Lucas Wallmark,"CAR, FLA",67,9,8,17,68,6.85,14,13,16
Devon Toews,NYI,68,3,14,17,38.64,3.79,12,54,25
Pavel Zacha,N.J,65,3,14,17,53.13,4.74,14,28,23
